"2026年08月14日更新"
"変電所No","変電所名","一次 電圧（kV）","二次 電圧（kV）","台数","設備容量（100%×台数）","運用容量値（MW）","運用容量制約要因","予想潮流","当該設備 空容量（MW）","上位系等考慮 空容量（MW）","N-1電制適用可否","N-1電制適用可能量","平常時出力制御の可能性","当該設備 平常時出力制御の可能性がある設備","上位系設備 平常時出力制御の可能性がある設備","備　考"
"神CD","有馬道","77","6.6","2","32","32","熱容量","－","13","0","不可 ＃２","－","有","－","対象","※１"
"神CE","丸山","77","6.6","2","18","18","熱容量","－","8","0","不可 ＃２","－","有","－","対象","※１"
"神CF","新開地","77","6.6","3","76","76","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神CF","新開地","77","33","2","57","31","熱容量","6","ー","ー","可","26","有","－","対象","※３"
"神CH","和田","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神CI","兵庫","77","33","2","57","31","熱容量","2","ー","ー","可","26","有","－","対象","※３"
"神CJ","会陽","77","6.6","3","57","57","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神CK","菅原","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神CL","湊川","77","6.6","3","42","42","熱容量","－","5","0","不可 ＃２","－","有","－","対象","※１"
"神CL","湊川","77","33","2","57","31","熱容量","4","ー","ー","可","26","有","－","対象","※３"
"神CM","長田","77","6.6","3","61","61","熱容量","－","14","0","不可 ＃２","－","有","－","対象","※１"
"神CO","千歳町","77","6.6","2","57","57","熱容量","－","28","0","不可 ＃２","－","有","－","対象","※１"
"神CP","鷹取","77","6.6","2","34","34","熱容量","－","17","0","不可 ＃２","－","有","－","対象","※１"
"神CQ","須磨","77","6.6","2","34","34","熱容量","－","17","0","不可 ＃２","－","有","－","対象","※１"
"神CQ","須磨","77","33","2","57","31","熱容量","0","ー","ー","可","26","有","－","対象","※３"
"神CR","神戸","77","6.6","2","34","34","熱容量","－","15","0","不可 ＃２","－","有","－","対象","※１"
"神CR","神戸","77","33","2","28","15","熱容量","2","ー","ー","可","13","有","－","対象","※３"
"神CS","箕谷","77","6.6","3","47","47","熱容量","－","9","0","不可 ＃２","－","有","－","対象","※１"
"神CU","鈴蘭台","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神CV","木見","77","6.6","2","36","36","熱容量","－","11","0","不可 ＃２","－","有","－","対象","※１"
"神CV","木見","77","22","2","28","28","熱容量","-6","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神CW","押部谷","77","6.6","2","19","19","熱容量","－","4","0","不可 ＃２","－","有","－","対象","※１"
"神CX","高塚山","77","6.6","2","38","38","熱容量","－","18","0","不可 ＃２","－","有","－","対象","※１"
"神CX","高塚山","77","22","3","114","74","熱容量","12","ー","ー","可","40","有","－","対象","※２、３"
"神CY","樫野台","77","6.6","2","38","38","熱容量","－","18","0","不可 ＃２","－","有","－","対象","※１"
"神CZ","井吹","77","6.6","3","57","57","熱容量","－","14","0","不可 ＃２","－","有","－","対象","※１"
"神CZ","井吹","77","22","2","57","57","熱容量","-3","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神DA","白川","77","6.6","3","57","57","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神DB","落合","77","6.6","3","57","57","熱容量","－","18","0","不可 ＃２","－","有","－","対象","※１"
"神DC","名谷","77","6.6","2","40","40","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神DD","垂水","77","6.6","3","51","51","熱容量","－","13","0","不可 ＃２","－","有","－","対象","※１"
"神DD","垂水","77","22","2","57","57","熱容量","1","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神DE","舞子","77","6.6","2","34","34","熱容量","－","17","0","不可 ＃２","－","有","－","対象","※１"
"神DE","舞子","77","22","1","14","14","熱容量","0","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神DF","歌敷山","77","6.6","2","36","36","熱容量","－","17","0","不可 ＃２","－","有","－","対象","※１"
"神DG","大蔵谷","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神DH","有瀬","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神DH","有瀬","77","22","1","14","14","熱容量","0","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神DI","白水","77","6.6","2","32","32","熱容量","－","13","0","不可 ＃２","－","有","－","対象","※１"
"神DJ","太寺","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神DK","南明石","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神DL","西明石","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神DM","明石","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神DM","明石","77","22","2","57","57","熱容量","0","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神DN","小山","77","6.6","2","38","38","熱容量","－","14","0","不可 ＃２","－","有","－","対象","※１"
"神DO","岩岡","77","6.6","2","36","36","熱容量","－","0","0","不可 ＃２","－","有","－","対象","※１"
"神DP","松陰","77","6.6","3","45","45","熱容量","－","6","0","不可 ＃２","－","有","－","対象","※１"
"神DQ","西大久保","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","－","対象","※１"
"神DR","江井島","77","6.6","1","19","19","熱容量","－","18","0","不可 ＃２","－","有","－","対象","※１"
"神DR","江井島","77","22","2","57","57","熱容量","1","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神DS","魚住","77","6.6","2","38","38","熱容量","－","15","0","不可 ＃２","－","有","－","対象","※１"
"神DS","魚住","77","22","1","28","28","熱容量","1","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神DT","土山","77","6.6","3","51","51","熱容量","－","12","0","不可 ＃２","－","有","－","対象","※１"
"神DT","土山","77","22","1","28","28","熱容量","-8","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神DU","二見島","77","6.6","2","38","38","熱容量","－","17","0","不可 ＃２","－","有","－","対象","※１"
"神DU","二見島","77","22","2","28","28","熱容量","0","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神DV","岩屋","22","6.6","2","19","19","熱容量","－","6","0","不可 ＃２","－","有","－","対象","※１"
"神DW","仮屋","77","6.6","2","19","19","熱容量","－","3","0","不可 ＃２","－","有","－","対象","※１"
"神DX","野島","77","6.6","2","35","35","熱容量","－","1","0","不可 ＃２","－","有","－","対象","※１"
"神DX","野島","77","22","2","28","15","熱容量","-20","ー","ー","可","8","有","－","対象","※３"
"神DY","志筑","77","6.6","3","64","64","熱容量","－","3","0","不可 ＃２","－","有","－","対象","※１"
"神DY","志筑","77","22","1","28","28","熱容量","-28","ー","ー","不可 ＃１","－","有","－","対象","※１"
"神DZ","五色","77","6.6","2","36","36","熱容量","－","3","3","不可 ＃２","－","－","－","－","※１"
"神EA","洲本","77","6.6","3","46","46","熱容量","－","3","3","不可 ＃２","－","－","－","－","※１"
"神EA","洲本","77","22","2","28","15","熱容量","-11","ー","ー","不可 ＃１","－","－","－","－","※１"
"神EB","緑町","77","6.6","3","36","36","熱容量","－","0","0","不可 ＃２","－","有","－","対象","※１"
"神EC","市","77","6.6","2","34","34","熱容量","－","5","5","不可 ＃２","－","－","－","－","※１"
"神EC","市","77","22","2","57","31","熱容量","-20","ー","ー","可","26","－","－","－","※１"
"神ED","西淡","77","6.6","2","32","32","熱容量","－","1","1","不可 ＃２","－","－","－","－","※１"
"神EE","南淡","77","22","2","28","28","熱容量","-8","ー","ー","不可 ＃１","－","－","－","－","※１"
"神EF","下竹田","33","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神EF","有馬6","77","6.6","2","26","26","熱容量","－","11","0","不可 ＃２","－","有","－","対象","※１"
"神EF","有馬22","77","22","2","57","31","熱容量","-1","ー","ー","可","26","－","－","－","※２"
"神EG","栗柄","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神EH","大芋","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神EI","北野新田","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神EJ","宮田","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神EK","細工所","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神EL","大山","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神EM","泉","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神EN","般若寺","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神EO","雲部","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神EP","福住","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神EQ","西古佐","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神ER","住吉台","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神ES","日置","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神ET","南矢代","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神EU","不来坂","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神EV","和田寺","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神EW","六瀬","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神EX","釜屋","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神EY","相野","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神EZ","笹尾","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神FA","駒丸","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神FB","木間生","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神FC","木器","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神FD","上野","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神FE","西谷","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神FF","パ－クタウン１号","22","6.6","1","5","5","熱容量","ー","5","4","不可 ＃２","－","ー","ー","ー","※１"
"神FG","玉瀬","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神FH","つつじヶ丘1号","22","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"神FI","清和台1号","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"神FJ","赤松台1号","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"神FK","十万","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神FL","東久保","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神FM","丸尾","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神FN","塩瀬","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神FO","名塩3号","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神FP","名塩2号","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神FQ","名塩1号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神FR","有馬温泉","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"神FS","瑞宝寺","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"神FT","有馬口","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神FU","有明","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"神FV","芦屋浜1号","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"神FW","芦屋浜2号","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"神FX","西宮浜5号","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"神FY","西宮浜1号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神FZ","西宮浜2号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GA","西宮浜6号","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"神GB","西宮浜4号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GC","南芦屋浜1号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GD","西宮浜7号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GE","西宮浜8号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GF","西宮浜3号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GG","南芦屋浜2号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GH","南芦屋浜3号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GI","鳴尾浜2号","22","6.6","1","5","5","熱容量","ー","3","0","不可 ＃２","－","ー","ー","ー","※１"
"神GJ","鳴尾浜3号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GL","鳴尾浜4号","22","6.6","1","5","5","熱容量","ー","5","0","不可 ＃２","－","ー","ー","ー","※１"
"神GM","鳴尾浜1号","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GP","江崎","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神GQ","岩屋港","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神GR","楠本","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神GS","室津","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神GT","室津南","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神GU","尾崎北","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神GV","郡家","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神GW","江井","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神GX","梅里","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神GY","志筑浜","22","6.6","1","5","5","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神GZ","内田","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"神HA","津井","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神HB","内田南","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"神HC","成山","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"神HD","由良","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神HE","生石","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神HF","伊加利","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神HG","阿那賀","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神HH","東谷","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"神HI","福良東","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"神HJ","渦潮","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"神HK","潮美台","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"神HL","築地","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"神HM","苅藻","22","6.6","1","2","2","熱容量","ー","2","2","不可 ＃２","－","ー","ー","ー","※１"
"神HN","伊賀野","22","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"神HO","阿万","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神HP","吹上","22","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"神HQ","阿万南","22","6.6","1","2","2","熱容量","ー","1","1","不可 ＃２","－","ー","ー","ー","※１"
"神HR","大川","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
"神HS","赤松台2号","22","6.6","1","5","5","熱容量","ー","4","0","不可 ＃２","－","ー","ー","ー","※１"
"神HT","尾崎","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","","","","※１"
"奈A","上狛","77","6.6","2","38","38","熱容量","－","15","15","不可 ＃２","－","ー","ー","ー","※１"
"奈A","上狛","77","33","2","57","31","熱容量","-15","ー","ー","不可 ＃１","－","ー","ー","ー","※３"
"奈Ｂ","布目川","33","6.6","1","5","5","熱容量","－","2","0","不可 ＃２","－","有","ー","対象","※１"
"奈Ｃ","大河原","33","6.6","1","5","5","熱容量","－","2","0","不可 ＃２","－","有","ー","対象","※１"
"奈Ｃ","大河原","33","22","1","9","9","熱容量","-8","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"奈Ｄ","奈良","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｄ","奈良","77","22","2","57","57","熱容量","0","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"奈Ｅ","高天町","77","6.6","3","52","52","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｆ","奈良阪町","77","6.6","2","38","38","熱容量","－","13","13","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｇ","平城","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｈ","秋篠","77","6.6","1","19","19","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"奈Ｉ","登美ヶ丘","77","6.6","2","33","33","熱容量","－","14","0","不可 ＃２","－","有","ー","対象","※１"
"奈J","北田原","77","6.6","3","57","57","熱容量","－","13","0","不可 ＃２","－","有","ー","対象","※１"
"奈J","北田原","77","22","2","28","28","熱容量","-13","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"奈Ｋ","東生駒","77","6.6","3","57","57","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"奈Ｌ","南生駒","77","6.6","2","38","38","熱容量","－","16","0","不可 ＃２","－","有","ー","対象","※１"
"奈Ｌ","南生駒","77","22","1","14","14","熱容量","0","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"奈Ｍ","平群","77","6.6","2","19","19","熱容量","－","8","0","不可 ＃２","－","有","ー","対象","※１"
"奈Ｎ","学園前","77","6.6","3","28","28","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｏ","富雄","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｐ","菅原町","77","6.6","2","36","36","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｑ","六条西","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｒ","紀寺","77","6.6","2","38","38","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｓ","京終","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｔ","北之庄","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｕ","郡山","77","6.6","2","38","38","熱容量","－","15","15","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｖ","新奈良","77","6.6","2","38","38","熱容量","－","16","0","不可 ＃２","－","有","ー","対象","※１"
"奈Ｖ","新奈良","77","22","2","57","57","熱容量","4","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"奈Ｗ","外川","77","6.6","2","36","36","熱容量","－","16","16","不可 ＃２","－","ー","ー","ー","※１"
"奈Ｘ","昭和","77","6.6","3","53","53","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"奈Ｙ","安堵","77","6.6","2","38","38","熱容量","－","16","0","不可 ＃２","－","有","ー","対象","※１"
"奈Ｙ","安堵","77","22","2","57","31","熱容量","2","ー","ー","可","26","有","ー","対象","※３"
"奈Ｚ","二階堂","77","6.6","2","19","19","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"奈ＡＡ","丹波市","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"奈ＡＢ","櫟本","77","6.6","2","19","19","熱容量","－","4","0","不可 ＃２","－","有","ー","対象","※１"
"奈ＡＢ","櫟本","77","22","1","14","14","熱容量","0","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"奈ＡＣ","大宇陀","22","6.6","2","11","11","熱容量","－","0","0","不可 ＃２","－","有","対象","対象","※１"
"奈ＡＤ","都祁","77","22","2","57","57","熱容量","-34","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"奈ＡＥ","榛原","77","6.6","2","19","19","熱容量","－","6","0","不可 ＃２","－","有","ー","対象","※１"
"奈ＡＥ","榛原","77","22","2","42","42","熱容量","-20","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"奈ＡＦ","王寺","77","6.6","3","52","52","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"奈ＡＧ","上牧町","77","6.6","3","57","57","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"奈ＡＨ","真美ヶ丘","77","6.6","2","38","38","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"奈ＡＩ","市場","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"奈ＡＪ","高田","77","6.6","2","38","38","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"奈ＡＪ","高田","77","22","2","57","31","熱容量","0","ー","ー","可","26","ー","ー","ー","※３"
"奈AK","広陵","77","6.6","2","38","38","熱容量","－","16","16","不可 ＃２","－","ー","ー","ー","※１"
"奈AL","西橿原","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"奈AM","橿原","77","6.6","3","57","57","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"奈AM","橿原","77","22","2","42","42","熱容量","1","ー","ー","可","0","ー","ー","ー","※１"
"奈AN","結崎","77","6.6","2","38","38","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"奈AO","柳本","77","6.6","2","36","36","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"奈AP","田原本","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"奈AQ","千代","77","6.6","2","38","38","熱容量","－","16","16","不可 ＃２","－","ー","ー","ー","※１"
"奈AR","桜井","77","6.6","3","47","47","熱容量","－","8","8","不可 ＃２","－","ー","ー","ー","※１"
"奈AS","香久山","77","6.6","2","38","38","熱容量","－","16","16","不可 ＃２","－","ー","ー","ー","※１"
"奈AT","畝傍","77","6.6","3","28","28","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"奈AU","栄和町","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"奈AV","新庄","77","6.6","2","38","38","熱容量","－","13","13","不可 ＃２","－","ー","ー","ー","※１"
"奈AV","新庄","77","33","2","28","28","熱容量","0","ー","ー","可","0","ー","ー","ー","※１"
"奈AW","御所","77","6.6","2","38","38","熱容量","－","15","15","不可 ＃２","－","ー","ー","ー","※１"
"奈AX","越智岡","77","6.6","2","19","19","熱容量","－","1","1","不可 ＃２","－","ー","ー","ー","※１"
"奈AY","池ノ内","77","6.6","2","38","38","熱容量","－","4","4","不可 ＃２","－","ー","ー","ー","※１"
"奈AY","池ノ内","77","33","2","28","15","熱容量","2","ー","ー","不可 ＃１","－","ー","ー","ー","※３"
"奈AZ","阿田峯","77","6.6","2","38","38","熱容量","－","7","7","不可 ＃２","－","ー","ー","ー","※１"
"奈AZ","阿田峯","77","33","2","28","28","熱容量","-9","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"奈BA","岡","77","6.6","2","34","34","熱容量","－","0","0","不可 ＃２","－","有","対象","対象","※１"
"奈BC","野原","77","6.6","2","19","19","熱容量","－","1","0","不可 ＃２","－","有","ー","対象","※１"
"奈BD","下田","77","6.6","3","57","57","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"奈BE","香芝","77","6.6","2","38","38","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"奈BF","下淵","77","6.6","2","38","38","熱容量","－","12","0","不可 ＃２","－","有","ー","対象","※１"
"奈BG","北野台","77","6.6","2","19","19","熱容量","－","2","0","不可 ＃２","－","有","ー","対象","※１"
"奈BH","東吉野","77","6.6","2","15","15","熱容量","－","3","0","不可 ＃２","－","有","ー","対象","※１"
"奈BH","東吉野","77","33","2","57","31","熱容量","-28","ー","ー","不可 ＃１","－","有","ー","対象","※３"
"奈BI","樫尾","33","6.6","1","5","5","熱容量","－","4","0","不可 ＃２","－","有","ー","対象","※１"
"奈BJ","大迫","33","6.6","1","5","5","熱容量","－","3","0","不可 ＃２","－","有","ー","対象","※１"
"奈BK","川合","77","6.6","1","4","4","熱容量","－","4","0","不可 ＃２","－","有","ー","対象","※１"
"奈BL","長殿","77","6.6","2","19","19","熱容量","－","1","0","不可 ＃２","－","有","ー","対象","※１"
"奈BM","川原樋川","77","6.6","1","1","1","熱容量","－","1","0","不可 ＃２","－","有","ー","対象","※１"
"奈BN","興ヶ原","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"奈BO","石打","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"奈BP","月ヶ瀬","22","6.6","1","2","2","熱容量","ー","1","0","不可 ＃２","－","ー","ー","ー","※１"
"奈BQ","尾山","22","6.6","1","2","2","熱容量","ー","2","0","不可 ＃２","－","ー","ー","ー","※１"
"奈BR","北桃","22","6.6","1","2","2","熱容量","ー","0","0","不可 ＃２","－","ー","ー","ー","※１"
